wateryear,region,surfdiv,pumping,et,gwstor,model
1985,9,70.67670713,107.014301,1377.506867,-210.012355,cvhm
1986,9,98.59761905,56.75000811,1410.546014,616.2480182,cvhm
1987,9,99.17199828,89.98929857,1398.878898,-309.1346526,cvhm
1988,9,42.56547882,165.3857379,1384.651228,-176.9580195,cvhm
1989,9,0.092006794,223.7571748,1380.967285,-177.2133368,cvhm
1990,9,0.06984111,323.4750462,1455.111091,-185.3966361,cvhm
1991,9,14.31924818,400.4929144,1540.320599,196.9882549,cvhm
1992,9,14.00083483,487.2393553,1609.259199,-235.7048291,cvhm
1993,9,89.82254357,262.6714661,1527.615047,638.2507683,cvhm
1994,9,88.21615525,370.4964815,1563.25981,-239.4324232,cvhm
1995,9,100.1783521,146.7393067,1435.614045,1473.092615,cvhm
1996,9,83.42285465,124.8500178,1490.017093,41.82273604,cvhm
1997,9,82.08177744,124.8500178,1447.62528,312.9572251,cvhm
1998,9,33.35770431,103.7714434,1361.282812,1750.794,cvhm
1999,9,79.80617236,58.37143691,1393.365151,-459.6635893,cvhm
2000,9,79.27885701,75.39643934,1496.775462,-9.453741224,cvhm
2001,9,79.89017012,80.26072575,1502.574251,-203.9157944,cvhm
2002,9,79.90066768,97.28572818,1472.265152,101.6040154,cvhm
2003,9,79.39541845,88.36786977,1475.939416,327.1353878,cvhm
1975,10,971.7824995,32.6904558,1454.647395,-39.12972735,cvhm
1976,10,1078.438973,39.64345872,1480.471765,-210.7744116,cvhm
1977,10,939.0866836,249.1913317,1479.922234,-274.3946496,cvhm
1978,10,883.051514,11.57462044,1470.779377,363.330838,cvhm
1979,10,943.8489342,28.23925671,1429.651821,-46.57235752,cvhm
1980,10,945.4122735,0,1389.319784,65.80070192,cvhm
1981,10,969.0638455,9.624583192,1449.301937,-116.6734189,cvhm
1982,10,828.3235038,8.241942324,1430.871441,111.2810682,cvhm
1983,10,731.9350203,0,1406.922824,431.4176568,cvhm
1984,10,985.7528797,26.31340063,1413.523278,-116.3200862,cvhm
1985,10,972.1875619,14.44767883,1397.420581,-141.2786577,cvhm
